source target value
1 A C 5802
2 A D 591
3 A I 2609
4 A N 2004
5 B C 11695
6 B E 12120
7 B F 579
8 B G 3157
9 B H 734
10 B I 3780
11 B L 637
12 B O 8835
13 B Q 592
14 B V 4879
15 C A 5013
16 C B 11769
17 C D 2986
18 C E 9551
19 C F 9670
20 C G 10492
21 C H 8298
22 C I 15268
23 C J 2082
24 C K 6891
25 C L 16739
26 C M 7700
27 C N 4936
28 C O 1228
29 C P 728
30 C S 8306
31 C T 19419
32 C V 14996
33 D C 3473
34 D I 765
35 D N 1220
36 E B 10919
37 E C 9375
38 E F 602
39 E G 959
40 E I 2378
41 E L 4724
42 E V 1242
43 F B 782
44 F C 9488
45 F G 738
46 F I 1564
47 F M 1058
48 F V 641
49 G B 2876
50 G C 11032
51 G F 908
52 G H 743
53 G I 4204
54 G K 675
55 G M 1346
56 G S 3727
57 G V 5335
58 H B 696
59 H C 11669
60 H I 2468
61 H K 3010
62 H L 965
63 H M 1879
64 H P 597
65 H V 5004
66 I A 4351
67 I B 6655
68 I C 13064
69 I D 726
70 I F 1603
71 I G 4387
72 I H 4964
73 I K 4597
74 I L 1237
75 I M 2115
76 I N 2090
77 I S 6891
78 I V 8300
79 J C 1354
80 K B 515
81 K C 8942
82 K G 778
83 K H 1608
84 K I 3372
85 K M 2810
86 K P 578
87 K V 674
88 L B 1164
89 L C 14475
90 L F 836
91 L G 1012
92 L H 7015
93 L I 2170
94 L K 1415
95 L M 695
96 L N 553
97 L S 815
98 L V 2818
99 M B 640
100 M C 8553
101 M F 728
102 M G 1304
103 M H 1056
104 M I 1541
105 M K 3416
106 M P 1909
107 M V 1051
108 N A 1519
109 N C 5554
110 N D 1872
111 N I 1070
112 O B 8181
113 O C 2185
114 O I 1028
115 P C 1934
116 P K 940
117 P M 1001
118 Q C 818
119 Q V 720
120 S B 1603
121 S C 10242
122 S G 5828
123 S H 646
124 S I 4843
125 S L 603
126 S M 916
127 S V 10764
128 T C 19495
129 U C 620
130 V B 3769
131 V C 7779
132 V G 4190
133 V H 5674
134 V I 2133
135 V Q 850
136 V S 11668
